# REQ-128 Phase 1 capability evidence matrix. Package fixtures are deterministic and constructed.
# scope_note current-host-sibling-key-tolerance: cut — 无真实用户,不做向后兼容(owner 直令 2026-07-31)
# fixture_boundary: the signed bundled Catalog has no packages key; a real package load is deferred → alpha-web#108.
phase1_item	producer_fixture	consumer_entrypoint	expected_verdict	reason_code	evidence_gate_file	evidence_test_name
producer-to-signed-catalog	alpha-web extension package artifact lock	consumer artifact byte pin	pinned	producer-artifact-immutable	packages/alpha-contracts-consumer/src/extension-package-artifact.test.ts	pins the containing commit, artifact path, aggregate, and every exact file
producer-to-signed-catalog	alpha-web extension package artifact lock	consumer aggregate recomputation	pinned	producer-aggregate-bound	packages/alpha-contracts-consumer/src/extension-package-artifact.test.ts	recomputes the producer aggregate and enforces the non-self-referential commit binding
producer-to-signed-catalog	producer v2 registry	consumer closure check	accepted	v2-profile-capability-closure	packages/alpha-contracts-consumer/src/extension-package-artifact.test.ts	v2 profile/capability closure covers OAuth and Alpha Connection and still excludes cloud
producer-to-signed-catalog	producer declaration negatives	consumer declaration schema	blocked	producer-declaration-invalid	packages/alpha-contracts-consumer/src/extension-package-artifact.test.ts	declaration schema directly rejects cloud, unknown auth, author-derived fields, and secret values
producer-to-signed-catalog	producer URL and auth negatives	consumer semantic checks	blocked	producer-url-auth-invalid	packages/alpha-contracts-consumer/src/extension-package-artifact.test.ts	credential/canonical URL negatives and remote auth semantics are asserted independently of SHA
producer-to-signed-catalog	producer negative-vector errors	consumer named-axis check	pinned	producer-negative-axis-named	packages/alpha-contracts-consumer/src/extension-package-artifact.test.ts	published vector error codes keep all semantic negative axes named
producer-to-signed-catalog	host artifact manifest	host artifact publisher	pinned	host-artifact-exact-files	packages/ui-mac/src/shared/host-extension-package-contract/host-extension-package-artifact.test.ts	publishes the fixed path, sorted registries, and exact per-file SHA-256
producer-to-signed-catalog	host canonical prelude	host artifact publisher	pinned	host-prelude-canonical	packages/ui-mac/src/shared/host-extension-package-contract/host-extension-package-artifact.test.ts	prelude canonical bytes have fixed member order and one trailing LF
producer-to-signed-catalog	host generated JSON	host artifact publisher	pinned	host-json-canonical	packages/ui-mac/src/shared/host-extension-package-contract/host-extension-package-artifact.test.ts	generated artifact JSON uses canonical recursive UTF-8 key order and trailing LF
producer-to-signed-catalog	host Phase 1 schemas	host artifact publisher	pinned	host-schema-closure	packages/ui-mac/src/shared/host-extension-package-contract/host-extension-package-artifact.test.ts	schemas are strict, payload-ref-only, and exclude Phase 2/4 profiles
