# 闸门文件登记簿(#647;`#844` 起第 1 列为**精确条数**,不再是留余量的下界)。
# 每行五列,TAB 分隔:<条数> <工作目录> <测试文件> <delegates_to> <这道闸保证什么>
#
# 「闸门文件」的定义:一个测试文件,**删掉它就会移除某条具体保证**,而不只是减少覆盖率。
# 操作性判据:它断言的是**自己模块之外**的东西 —— 仓库源码文本、vendored/生成的 fixture、
# 上游文件、或一份钉住的清单/登记簿 —— 于是没有别的测试会因为它消失而变红。
#
# ── delegates_to:**默认拒**,不许留空 ────────────────────────────────────────
# 很多源码棘轮会在抬头写明「主判据不在本文件,由 X 执行」。那么删掉 X,保证就没了,而棘轮只
# 守住「源码里有那段文字」—— 按本仓自己的定义,那就是**假闸门**。
# 所以:凡本文件把主判据委派给别的测试文件,必须在这一列列出(逗号分隔,仓库相对路径),
# 且**被委派的文件必须也在本登记簿里**。没有委派就显式写 `-`。留空 = 红。
#
# 为什么不靠自动解析抬头来发现委派:自然语言的说法太多(「真实判据见」「行为层闸门在」
# 「THE PRIMARY JUDGEMENT IS NOT IN THIS FILE」「移至」「由 X 断言」…),按措辞枚举与当初
# 「按文件名枚举」是同一种缺陷 —— 说法不合的就隐形。因此**权威是这一列**(人显式声明,默认拒);
# 抬头扫描只作为**发现用的绊线**:凡在闸门文件正文里出现的其它测试文件,必须已登记、
# 或在 NOT_GATES、或在 REFERENCED_BUT_UNREGISTERED 里写明理由。三者皆无 = 红。
#
# ── 为什么需要**两层**下界(别再只做一层)────────────────────────────────────
#   · 整包地板(workflow 的 `bun test (ui-mac)` 等)抓**灾难性丢失**:加载失败、成片删除、
#     runner 配错。它抓不到「少了一个文件」——实测:
#       ui-mac 删掉 stream-read-hygiene.test.ts → 3077 条 ≥ 地板 3000 → **全绿**
#       ext    删掉 prompt-rebrand.test.ts      →  106 条 ≥ 地板  100 → **全绿**
#   · 本登记簿抓**单点消失**:每个闸门文件单独点名、单独判**精确条数**。
#   两层缺一不可 ——「只上地板」这个错误本仓已经犯过两次(ui-mac 一次、ext 一次)。
#
# ── 第 1 列语义(`#844`)────────────────────────────────────────────────────────
# `N` = 精确条数(默认):实际 pass 必须**恰好等于** N。少 = 有用例被删;多 = 新增未登记
# (未登记的用例可以被静默删掉 —— 旧的 ~20% 余量政策让 35/87 条、合计 131 条用例处于
# 该状态,含两条 guarantee 明写「不留余量」的,#844 实测)。改动闸门文件后跑
#   bash scripts/assert-gate-files.sh --update
# 从实测自动写回本列,让评审读 TSV 的 diff。
# `>=N` = 具名例外(下界语义),仅限条数真的会随**环境**变化的行;guarantee 列必须含
# 完整且理由有非空白字符的 `[例外:<理由>]`,否则判红。登记值(含例外)必须 > 0。当前**零范围例外**
# (#844 勘破实测,两条独立测量轴一致;条数逐 commit 确定)。
#
# ── 平台条件闸(`#1153`)──────────────────────────────────────────────────────
# guarantee 列含**逐字** `[平台:darwin]`(或 `[平台:linux]`,至多一个,词表 = process.platform
# 取值)= 该行只在那个平台上适用。语义三档,谁都不豁免:
#   · 适用平台:照常精确条数(与普通行无异,--update 也照常测量写回);
#   · 不适用平台:**仍然真跑该文件**,要求它**自报 0 条**(实测 bun 1.3.14 对整文件
#     describe.skip 打 `0 pass … Ran N tests across 1 file` 且 exit 0)——「不适用」由
#     登记标注 × 文件自报**两者一致**派生,不是人手标签说了算:该跑的文件被误标 ⇒ 它在本
#     平台跑出 >0 条 ⇒ 当场红;文件被删 ⇒ 匹配 0 个文件 ⇒ 当场红;
#   · 存在不适用行的一跑,整体退出码是 2(门绿但那几行的保证本次未被验证),消费方
#     (alpha-check [6/10] / alpha-ci 的 assert gate files 步)记「未验证」不拦 —— 恒红只会
#     训练下一个人把 darwin-only 判据摘出登记簿,那正是 #1153 的病根。
# 平台条件行不得与 `>=N` 例外叠加;标注写歪(平台词不在词表/一行多个)当场红,不静默退化。
# 为什么需要这一档:REQ-138 的真 sandbox-exec 语料(escape / setid-exec)只在 darwin 存在,
# 精确条数在 linux 上量到 0 恒红 ⇒ 此前只能不登记 ⇒ 整文件可被静默删掉(上文「整包地板
# 抓不到单个文件消失」正是为它写的)。
#
# 新增闸门文件忘了登记 → packages/ui-mac/src/main/gate-file-registry.test.ts 判红。
#
# count	workdir	path	delegates_to	guarantee

# ── contracts-consumer ────────────────────────────────────────────────────────
25	packages/alpha-contracts-consumer	src/contracts.test.ts	-	vendored Alpha 契约的哈希锁:契约被改写/替换即红
10	packages/alpha-contracts-consumer	src/model-catalog-v2-consumer.test.ts	-	#681:契约 pin 只接受 40 位 hex 的真 sha(占位 sentinel 判红,枚举全部 lock)+ ModelCatalogV2 独立 pin 的哈希锁 + 「V1 catalog decoder 已不存在」的机械证据。下界=实际条数 10,不留余量:留余量则删一格仍能过
7	packages/alpha-contracts-consumer	src/extension-package-artifact.test.ts	packages/ui-mac/src/main/package-installability.test.ts	REQ-128 producer artifact 的 commit/path/aggregate/40 文件字节锁 + vendor 目录无孤儿夹具 + 跨仓宿主 pin 与本仓活 artifact 逐字节一致(#759) + 独立语义负向门；运行时 host decoder/evaluator 判据委派给已登记受托方。下界=实际条数 7
8	packages/alpha-contracts-consumer	scripts/git-cross-repo.test.ts	-	#754:跨仓 git 调用不继承本仓 git 环境(`git push` 从 linked worktree 注入 GIT_DIR,它压过 `-C`,使 pre-push 对任何 push 恒红、全员 `--no-verify`)。含两条 control(证明毒确实咬得动,而非断言一件本来就成立的事)+ 对 `git rev-parse --local-env-vars` 全集下毒 + 真跑 check:vendor 生产入口。删掉它:整包地板 15 抓不到(还剩 37 条),恒红闸门会无声复活。下界=实际条数 8,不留余量
3	packages/alpha-contracts-consumer	scripts/pre-push-git-env.test.ts	-	#815:真实 linked-worktree `git push` 边界清除 Git 自报的 repository-local 环境变量,否则 Git 注入的 GIT_DIR 会压过夹具 cwd/`git -C`,把三个空提交与 Test 署名/core 配置写进正在推送的分支和共享 `.git/config`。一条 control 拆掉生产 scrub 并证明 HEAD/config 真被污染;一条复用生产自愈块,钉真实漂移会修且禁用逃生口不被覆盖;正向连续真 push 五次,每次钉 HEAD、config bytes/inode/mtime 全不动且 scrub 集没有变量漏入 alpha-check。删掉它:整包地板仍绿,钩子可重新污染被测对象。下界=实际条数 3,不留余量
7	packages/alpha-contracts-consumer	scripts/vendor-lock-degradation.test.ts	-	#769:CI 的 `verify immutable Alpha contract vendor lock` 那一步曾**恒红**(裸 checkout 没有兄弟仓 ../alpha-web,与它要验的漂移无关)。改成降级后,这道闸证明降级模式不是假绿:篡改 vendored 字节必红、**同时**改写 vendored 字节与 lock(=拿错目录跑一次 vendor 的形状)仍必红(producer manifest 的哈希锚在源码常量 artifactSha256 的 aggregate 上)、降级输出确实自述 provenance 未验证、写盘侧 `vendor` 无源仍硬失败。全部跑在隔离副本上,不碰仓内 vendor 树。下界=实际条数 7,不留余量

# ── ext ──────────────────────────────────────────────────────────────────────
26	packages/ext	src/prompt-rebrand.test.ts	-	REQ-062 prompt 改名 drift lock:上游 sync 重写基础 prompt 即红
43	packages/ext	src/cloud-websearch-kill.test.ts	-	云 web search kill-switch 真能关(通用 Remote MCP 的钳制点)
11	packages/ext	src/gen-skill-paths.test.ts	packages/ui-mac/src/main/ext-receipt-v2.test.ts	REQ-100 skill 注入门:只投影 main 派生的允许集(decoder 强度用例已移至受托方)
4	packages/ext	src/cloud-contract-hook.test.ts	-	ext 侧契约解码钩子:契约不兼容必须 loud
11	packages/ext	src/alpha-sandbox-seam.test.ts	-	REQ-138 引擎 shell 围栏接线:cfg.shell 恒指向 wrapper、profile 允许集是闭集、装不上 fail-closed 到 deny stub(真 sandbox-exec 正反语料是 darwin-only 的另一支,CI 上 skip)
5	packages/ext	src/alpha-sandbox-escape.test.ts	-	REQ-138/#1075 AC2「越界写入落不了盘」的唯一执行者:经生产 wrapEngineShell 装出的 wrapper+profile 真跑 /usr/bin/sandbox-exec,整类逃逸语料正反两跑(围栏 ON 落不了盘 / 同语料围栏 OFF 全部落盘 —— 先证明语料能测出已知的坏)。#1153 前未登记,整删无一门变红(ext 地板 161−13=148>100)。[平台:darwin] 真围栏语料只在 darwin 存在,非 darwin 上文件自报 skip,由本登记簿按「自报 0 条」验证标注,不豁免
